scientific_name,ocurrence
Vassum muricatum,11
Halimeda opuntia,9
Syringodium filiforme,8
Thalassia testudinum,8
Penicillus dumetosus,8
Strombus gigas,7
Avrainvillea longicaulis,7
Sargassum sp.,4
V. muricatum,4
Octopus vulgaris,4
Seaflower,4
Colecta de caracoles,4
ÁREA MARINA PROTEGIDA,3
Actividades lúdicas relacionadas,2
T. testudinum,2
Rhipocephalus phoenix,2
Informe financiero Desagregado por Rubro,2
Penicillus pyriformis,2
S. filiforme,2
Glinglymostoma cirratum,2
Halimeda incrassata,2
Blue Dream,1
Informe financiero por Rubro,1
Pterois volitans,1
Traslocacion,1
Tipo Lugar caracoles,1
Panulirus argus,1
Coordinadora asuntos,1
Modelo oceanográfico del sistema insular,1
Artesanas iniciando labores,1
Providencia previamente capacitado Renato,1
Mortalidad,1
Providencia previamente capacitado Waren,1
