location,ocurrence
Colombia,23
Guajira,17
Caribe,13
Providencia,11
Ciénaga Grande de Santa Marta,10
La Guajira,9
Santa Catalina,8
San Andrés,8
San Andres,7
Cartagena,5
San Andrés Isla,5
Cauca,5
golfo de Urabá,5
Antioquia,5
Bocas del Atrato,4
río Ranchería,4
Caribe Colombiano,4
Golfo de Urabá,4
Archipiélago,4
Guapi,3
golfo de Uraba,3
Pacífico,3
Riohacha,3
Urabá,3
Caribbean,3
Gulf of Uraba´,3
Atlántico,3
Chocó,3
Riosucio,2
Murindó,2
Mallorquín,2
Nariño,2
Bahía Portete,2
Oca,2
bahía Portete,2
Iscuandé,2
Pacífica,2
bahía el Uno,2
Sierra Nevada de Santa Marta,2
Salt Creek,2
golfo de Uraba Colombia,2
Nuquí,2
rio Rancheria,2
Cienaga Grande de Santa Marta,2
Manaure,2
La Balsa,2
Tinajones,2
Unguía,2
Salamanca Island Parkway,2
Bojayá,2
R,2
Panguí,2
Carmen del Darién,2
Río Piedras,1
Valle de Cauca,1
Smith Channel,1
Santuario de Fauna y Flora,1
Antiguo Delta del Río Sinú,1
Municipio de Turbo,1
Ensenada de Tumaco,1
Delta de Tinajones,1
Cispatá,1
Departamento de La Guajira,1
Baja Guajira,1
El Roto,1
San Andrés Islas,1
Isla de San Andres,1
Valle de los Cangrejos,1
mar Caribe,1
Golfo de Uraba,1
golfo de Urabá Uribe,1
Lopez Micay,1
Caribe colombiano,1
Bolivar,1
Vigía del Fuerte,1
Ciénaga Grande de Santa,1
Laguna,1
Velez,1
isla Fuerte,1
Río Ranchería,1
Malloquin,1
Tribugá,1
Córdoba,1
Ciénaga,1
Bolívar,1
Cerro Murrucucu Cordoba Villa,1
Pajarales,1
Cocoplum,1
Uribia,1
santa Catalina,1
rio Sinú,1
Departamento de Atlántico,1
San Andres Isla,1
Océano Pacífico,1
Archipiélago de San Andrés,1
río Magdalena,1
Riíto,1
Uraba,1
Aguadulce,1
Lopez de Micay,1
Golfo de Morrosquillo,1
Isla Fuerte,1
golfo de Tribugá,1
Brazo el Riíto,1
rio Magdalena,1
Cocinas,1
Jurubidá,1
Ciénaga de cholón,1
Departamento de Bolívar,1
Isla Barú,1
Jurubirá,1
Bahía Solano,1
Mallorquin,1
Canal del Dique,1
Atrato,1
E. A. Viloria,1
Perijá,1
Antiguo Delta del Rió Sinú,1
Bahía de Cispata,1
Timbiqui,1
Darién,1
Bahía de Cispatá,1
Guaviare,1
Musichi,1
Putumayo,1
Manglar Jimenez,1
Aguacate,1
Bajo Sinú,1
Islas de San Bernardo,1
Turbo,1
Bahía Hooker,1
Cie'naga Grande de Santa Marta,1
Isla de San Andrés,1
Caribbean Coast,1
Cardique Gomez,1
La Ciénaga de Mallorquín,1
Providencias,1
Bajo Baudó,1
Departamento del Atlántico,1
Tajamar Occidental,1
Delta del Canal del Dique,1
Old Point,1
Sinú,1
Isla de Salamanca,1
Norte del Caribe,1
Parque Isla de Salamanca,1
Carrillo de silva,1
Musiche,1
rio Ranchería,1
